溶解氧,水温,pH,电导率,浊度,高锰酸盐指数,氨氮,总氮
8.91,14,6.64,156.8,39.25489358,4.988464333,0.373,4.17
8.9,14,6.64,161.4,39.80765433,4.989134685,0.403,4.17
8.81,14.2,6.64,165.9,40,4.989614748,0.441,4.11
8.78,14.5,6.57,170.8,31.7,4.98990352,0.441,3.86
8.66,14.6,6.73,176,30,4.99,0.426,3.84
8.63,14.7,6.77,181.8,27.8,4.58,0.407,3.83
8.63,14.7,6.8,182.9,26.2,4.58,0.374,3.67
8.58,14.7,6.78,185,26,4.46,0.622,3.86
8.64,15,6.81,185.2,22.3,4.83,0.586,3.75
8.67,15.4,6.81,187.5,22.1,4.6,0.526,3.72
8.52,15.5,6.8,188.1,19.7,4.62,0.448,3.62
8.39,15.5,6.81,188.1,18.6,4.4,0.394,3.54
8.3,15.6,6.86,190.1,25.2,4.15,0.353,3.54
8.26,15.6,6.83,187.7,17.8,3.958093066,0.34,3.44
8.36,16,6.83,190.3,14.5,3.767453076,0.323,3.37
8.54,16.5,6.85,190.2,13.3,3.585576121,0.316,3.37
8.37,16.6,6.85,190.7,12.8,3.41995829,0.308,3.42
8.08,16.4,6.84,193.1,12.4,3.278095673,0.287,3.36
8.18,16.3,6.85,192,18.4,3.167484359,0.251,3.44
8.12,16.3,6.86,192,16.1,3.095620438,0.26,3.35
7.67,16.6,6.86,207.4,10.6,3.07,0.236,3.23
7.78,16.8,6.85,207.5,9.4,3.26,0.238,3.22
7.79,16.9,6.84,210.4,10.6,3.4,0.325,3.53
7.96,16.7,6.83,191.8,12.3,3.52,0.264,3.47
8.07,16.6,6.83,190.7,13.1,3.19,0.273,3.45
7.98,16.6,6.83,191.4,11.3,3.1,0.282,3.38
7.99,16.9,6.81,194.3,10.2,3.31,0.284,3.4
8.26,17.4,6.84,193.1,9.6,3.17,0.278,3.4
8.17,17.5,6.85,195.5,10.1,3.05,0.297,3.41
7.82,17.3,6.83,196.9,9.4,3.08,0.33,3.49
7.8,17.2,6.81,196.4,11.2,3.08,0.322,3.46
7.82,17.2,6.84,198.8,10.6,3.16,0.318,3.41
7.81,18,6.84,204.3,9.2,3.4,0.333,3.44
7.95,19,6.85,209.1,8.8,2.98,0.315,3.4
7.78,19.3,6.89,223.1,9.1,3.04,0.269,3.28
7.33,19.2,6.9,233.8,8.6,2.98,0.234,3.22
6.86,18.7,6.88,234.5,11.8,3.11,0.181,3.1
6.88,18.5,6.88,234.1,9.4,2.62,0.178,3.01
6.86,19.6,6.9,247.4,8.3,3.02,0.169,3.03
7.31,20.5,6.93,246.8,7.1,3.04,0.146,3.05
7.58,20.7,7.03,248.4,7.7,3.85,0.147,3.12
7.24,20.7,7.02,249.3,7.6,3.25,0.138,3.05
6.5,20.5,6.96,251.7,7,3.41,0.138,3.06
6.02,20.2,6.93,251.1,7.1,2.98,0.138,3
6.24,20.3,6.94,247.4,7.2,2.92,0.133,3.03
6.29,20.2,6.95,247.4,6.6,3.18,0.122,2.97
6.58,20.1,6.97,237.8,6.6,3.07,0.129,2.96
6.67,19.7,7,238.6,7.6,3,0.121,2.96
6.57,19,7.01,234.8,10.4,3.48,0.124,3.04
6.38,18.2,7.01,237.1,9.4,3.23,0.131,3.01
6.9,17.8,7.06,236.8,8,3.45,0.12,3
7.03,17.5,7.08,236,8.8,3.55,0.115,2.99
7.2,17.1,7.09,230.4,7.6,3.53,0.125,2.98
7.53,16.9,7.12,233.4,7.8,3.38,0.112,3.02
7.33,16.5,7.1,233,7.2,3.55,0.124,3.04
6.98,16.2,7.07,235.7,7.5,3.73,0.122,3
7.3,15.9,7.1,236.8,7.7,3.35,0.119,3.02
7.66,15.8,7.12,235.8,7.2,3.39,0.119,3
7.41,15.6,7.1,240,6.2,3.48,0.119,2.98
7.67,15.4,7.13,244.1,6.5,3.46,0.109,2.93
7.87,15.3,7.16,247.7,6.7,3.09,0.102,2.86
7.88,15.2,7.17,250.9,6.1,3.05,0.098,2.82
8.26,15.8,7.22,256.4,6.9,2.87,0.089,2.81
8.27,16.5,7.22,257.8,6.6,2.98,0.088,2.73
7.9,16.2,7.17,258,5.2,2.91,0.091,2.71
8.35,16.4,7.21,261.9,5.2,2.98,0.006,2.68
8.54,16.2,7.25,261,5.6,3.11,0.008,2.66
8.26,16.2,7.23,259.6,5.5,2.8,0.005,2.64
8.25,16.5,7.24,258.8,5.9,2.85,0.004,2.64
8.06,16.6,7.21,257.1,6.8,2.78,0.016,2.7
7.64,16.3,7.15,257.9,5.3,2.81,0.001,2.68
7.91,16.1,7.16,256.1,4.8,3.11,0.007,2.68
8.17,15.8,7.19,255.9,5.1,2.92,0.013,2.68
8.27,15.6,7.21,256.1,4.9,3.01,0.007,2.69
8.68,17.4,7.26,257.8,4.9,2.95,0.082,2.66
8.3,18.6,7.21,257.1,5.4,2.95,0.103,2.72
7.78,18.6,7.16,258.6,5.3,2.84,0.105,2.71
7.84,18.4,7.16,256.9,5.7,2.79,0.096,2.68
7.68,18.3,7.15,257,5,2.94,0.095,2.65
7.44,18.3,7.14,257.9,5.3,3.22,0.098,2.66
7.59,18.5,7.16,256.7,6.5,2.93,0.101,2.64
6.97,18.3,7.11,256.9,5.6,2.97,0.107,2.66
6.69,18,7.19,260.2,5.1,2.962745902,0.111852273,2.655
6.71,17.9,7.14,261.7,4.7,2.94,0.115,2.65
6.8,17.8,7.14,257.9,5.6,2.73,0.116,2.65
6.79,17.8,7.14,262.7,6,2.717222279,0.118,2.67
6.95,18,7.16,265,5.6,2.709837726,0.127,2.66
7.48,18,7.16,239.6,10.9,2.706082288,0.158,2.7
7.23,17.9,7.06,234.4,7.6,2.704191914,0.147,2.68
6.75,18,7.05,253.5,5.8,2.702402551,0.124,2.68
6.64,18,7.05,261.1,5.5,2.698950146,0.13,2.7
6.46,18,7.03,264,5.7,2.692070646,0.133,2.7
6.49,18.1,7.04,263.8,4.6,2.68,0.137,2.7
6.37,18.3,7.03,262.7,5.9,2.58,0.138,2.71
5.81,18.3,6.99,266.5,4.7,2.76,0.141,2.7
5.71,18.3,6.98,267.5,5,2.41,0.134,2.72
5.91,18.3,7,266,4.9,2.84,0.128,2.67
5.88,18.3,7.01,266.5,5.1,2.71,0.127,2.64
6.5,18.6,7.05,265.2,4.9,2.88,0.129,2.63
6.78,19.1,7.08,264.2,6,2.4,0.137,2.65
6.98302682,19.68394487,7.091891534,264.205981,5.994326241,2.346872082,0.136468934,2.649646511
7.178007663,20.35137396,7.101798942,264.228028,5.975177305,2.307329599,0.134922811,2.648424391
7.352068966,21.02949065,7.109642857,264.2722973,5.939361702,2.279621849,0.132432243,2.64609116
7.492337165,21.6454983,7.115343915,264.3449449,5.883687943,2.261998133,0.129067844,2.642404338
7.585938697,22.1266003,7.118822751,264.4521271,5.804964539,2.25270775,0.124900225,2.637121445
7.62,22.4,7.12,264.6,5.7,2.25,0.12,2.63
7.05,22.5,7.09,268.5,4.9,2.44,0.109,2.56
6.83,22.5,7.09,268.8,5.1,2.77,0.09,2.53
6.59,22.5,7.08,267.9,4.9,2.733703704,0.090705314,2.524330484
6.13,22.5,7.05,269.8,5.3,2.666296296,0.092743961,2.521054131
6.11,22.6,7.06,270,4.8,2.63,0.096,2.52
5.84,22.7,7.05,273.5,4.9,2.66,0.107,2.6
5.05,22.4,6.98,275.9,4.4,2.82,0.114,2.55
4.66,22.2,6.95,276.6,4,3.01,0.121,2.63
4.69,22.1,6.94,278.5,5.4,2.83,0.123,2.65
4.65,22,6.94,279.9,5.2,3.05,0.129,2.63
5.9,22.8,7.03,280.5,5.6,2.65,0.126,2.65
6.57,24.3,7.07,280.4,5.1,2.44,0.123,2.64
5.73,24.2,7.04,285.6,4.2,2.56,0.12,2.64
5.98,24.2,7.03,287.1,4.8,2.93,0.12,2.63
5.96,23.9,7.05,284.8,18.6,2.68,0.113,2.77
5.68,23.8,7.04,287.1,10.3,2.74,0.106,2.64
6.82,24.4,7.13,286.6,8,2.81,0.104,2.6
6.9,24.7,7.13,284.8,6.3,2.85,0.095,2.5
5.91,24,7.06,285.5,6.6,2.97,0.089,2.52
6.87,23,7.2,264.8,8.388261142,3.98,0.007,5.5
7.67,22.2,7.22,252.6,11.22190835,2.5,0.013,3.12
6.63,22.5,7.14,281.4,12.7,2.503492605,0.009,2.57
6.29,22.4,7.12,286.3,10.1,2.513730404,0.003,2.59
6.18,22.3,7.13,286.1,8.3,2.53035337,0.082,2.57
5.54,21.8,7.08,284.6,6.2,2.553001477,0.099,2.53
5.88,21.1,7.09,272.3,9.803703704,2.5813147,0.002,4.04
7.82,20.2,7.18,218.3,16.4962963,2.614933012,0.007,2.92
6.89,20.2,7.13,256.1,20.1,2.653496387,0.096,2.57
6.66,20.6,7.15,278.3,9,2.6966448,0.119,2.57
6.79,20.5,7.17,272.2,6.7,2.744018223,0.15,2.54
7.01,19.9,7.18,272.8,8.8,2.795256632,0.103,2.59
7.81,19.4,7.25,264.3,7.3,2.85,0.088,2.49
6.83,18.8,7.15,261.1,7.6,2.95,0.102,2.47
7.07,18.4,7.15,250.2,7.7,3.18,0.122,2.48
7.79,18.3,7.19,225.7,6.2,3,0.086,2.45
8.43,18.1,7.21,205.3,5.5,4.15,0.137,2.42
8.32,17.9,7.19,192.8,6.7,3.73,0.132,2.38
7.94,17.6,7.11,186,6.4,3.31,0.152,2.35
7.87,17.4,7.08,180.9,6.4,3.56,0.173,2.32
7.86,17.2,7.05,176,7.2,3.543922117,0.173,2.26
8.25,17.4,7.07,170.9,6.3,3.499250831,0.144,2.18
8.9,17.5,7.13,167,6.1,3.431329683,0.113,2.04
8.83,17.4,7.13,164.1,6.6,3.345502216,0.092,1.97
8.44,17.2,7.09,160.5,6.8,3.247111971,0.08,1.91
8.31,17.1,7.05,159,6.8,3.141502493,0.012,1.84
8.34,17,7.04,155.9,7.4,3.034017321,0.003,1.8
8.82,17.3,7.06,152,6.3,2.93,0.001,1.72
9.56,17.9,7.32,151.8,4.759507042,2.81,0.006,1.67
9.6,18,7.33,151.5,3.8,2.82,0.006,1.66
9.77,18.2,7.4,144.6,30.5,2.32,0.018,2.16
9.47,17.3,7.21,139.4,14.7,1.86,0.028,1.81
8.35,17.5,7.05,149.8,5.3,2.61,0.005,1.62
8.1,17.7,7.01,156.3,4.1,2.67,0.017,1.64
8.53,17.8,7.06,154.5,4.7,2.75,0.005,1.64
8.59,17.7,7.05,155.2,4.8,2.44,0.023,1.65
8.88,17.3,7,148.2,13.9,1.89,0.024,1.8
8.64,17,7.1,152.9,11.6,2.38,0.019,1.88
7.77,16.9,7.01,190.9,10.4,3.94,0.294,2.52
8.21,17.5,6.99,206.1,9.9,4.67,0.414,3.01
8.7,17.5,7.01,192.2,7.7,4.07,0.332,2.75
8.3,17.2,6.96,186.7,7.3,4.43,0.387,2.76
8.72,17.1,6.96,171.5,15.2,3.37,0.24,2.69
8.69,16.8,6.96,166.9,11,2.95,0.168,2.45
8.06,16.6,6.94,170.1,6.7,3.68,0.208,2.39
8.41,16.7,6.97,167.3,5.9,3.48,0.186,2.25
8.96,16.8,7.03,164.9,6.1,3.75,0.163,2.2
8.93,16.7,7.02,162.9,5.7,3.47,0.153,2.12
8.96,16.7,7,158,13.6,2.87,0.007,2.13
8.95,16.5,6.99,151.3,8.3,2.56,0,1.97
8.23,16.4,6.96,153,5.8,2.587250188,0.014,1.91
8.38,16.4,6.93,151.2,4.7,2.661968445,0.028,1.91
8.79,16.5,6.98,152.2,4.5,2.773606311,0.153,1.93
8.75,16.4,6.97,156.6,5.1,2.911615327,0.155,1.97
8.85,16.5,6.97,158.6,8.6,3.065447032,0.027,2.03
8.68,16.3,6.96,163.4,7.1,3.224552968,0.183,2.12
8.26,16.3,6.92,171.2,6.9,3.378384673,0.219,2.21
8.42,16.3,6.92,171.8,5.8,3.516393689,0.2,2.22
8.75,16.5,6.94,173.4,5.3,3.628031555,0.192,2.23
8.74,16.5,6.95,175.4,4.9,3.702749812,0.203,2.23
8.42,16.5,6.94,176.4,5.2,3.73,0.186,2.22
8.35,16.5,6.92,174.4,7.1,3.35,0.187,2.24
8.35,16.5,6.93,168.4,6.1,3.73,0.186,2.34
8.46,16.5,6.92,166.6,5.2,3.23,0.185,2.18
8.54,16.6,6.93,168.1,5.1,3.67,0.204,2.21
8.4,16.7,6.95,170.7,5.2,4.03,0.199,2.27
8.14,16.7,6.93,175.6,5.8,3.92,0.216,2.31
8.13,16.7,6.92,177.6,6.6,3.81,0.228,2.41
8.12,16.7,6.9,175.6,5.8,3.713918159,0.204,2.36
8.33,17,6.91,176.3,4.8,3.614240422,0.215,2.31
8.9,17.5,6.97,176.2,4.6,3.514945227,0.178,2.26
8.69,17.5,6.97,178.2,4.4,3.420011013,0.177,2.25
8.13,17.5,6.93,180.5,4.3,3.333416217,0.176,2.22
7.99,17.4,6.91,178.1,4.7,3.25913928,0.167,2.19
7.92,17.4,6.77,178,7.5,3.201158639,0.176,2.22
8.12,17.5,6.88,176.8,4.7,3.163452733,0.155,2.16
8.78,17.8,6.95,175.6,4.3,3.15,0.153,2.12
8.77,17.8,6.98,176.5,4.2,3.34,0.025,2.05
8.19,17.7,6.94,176.4,4.3,3.13,0.011,1.99
8.1,17.6,6.92,174.9,4.7,2.97,0.013,1.98
8.15,17.6,6.9,174.8,15.8,4,0.203,2.55
8.12,17.6,6.86,178.9,29.6,5.39,0.238,3.26
8.06,17.9,6.92,190.4,34.7,5.81,0.303,3.54
7.89,17.9,6.77,186.6,37.9,6.18,0.341,3.86
7.89,17.8,6.74,186.6,29,6.64,0.352,3.82
7.82,17.8,6.73,191.8,21.2,6.36,0.34,3.52
7.73,17.9,6.77,197.1,21.2,5.84,0.337,3.47
7.91,18.3,6.77,183.5,19.5,5.09,0.319,3.38
8,18.5,6.8,195.9,15.4,5.22,0.284,3.24
7.94,18.4,6.83,191.6,11.6,5.05,0.249,2.98
7.68,18.3,6.83,190.6,9.7,4.55,0.218,2.77
7.64,18.2,6.84,189.6,8.6,4.65,0.215,2.66
7.68,18.1,6.85,187.7,8,4.759475102,0.177,2.54
8.28,18.7,6.89,185.2,6.6,4.882151245,0.153,2.42
8.75,19,6.95,182.6,5.5,5.014207251,0.021,2.32
8.46,18.9,6.96,180.2,5.1,5.151821937,0.003,2.17
7.87,18.8,6.91,178.7,5.3,5.291174125,0.014,2.07
7.71,18.8,6.89,176.8,5.3,5.428442632,0.016,2.04
7.73,18.6,6.89,172.9,6.4,5.55980628,0.023,2.09
8.01,18.6,6.89,170.6,6,5.681443887,0.014,2.14
8.24,18.8,6.9,172.6,6.8,5.789534273,0.023,2.19
8.08,18.6,6.86,175.2,10.1,5.880256258,0.189,2.47
7.9,18.3,6.82,183,12.6,5.949788661,0.218,2.8
7.9,18.1,6.8,187.2,16.4,5.994310302,0.236,3.06
7.85,17.9,6.78,191.9,16.5,6.01,0.495,3.42
7.822761137,17.92404207,6.780841473,191.8813674,16.43087904,5.994646482,0.492114951,3.406851908
7.799999232,17.99316304,6.783260706,191.8277986,16.23215627,5.950388802,0.483820436,3.369663788
7.78119161,18.102855,6.787099925,191.7427874,15.91679189,5.879931271,0.4706574,3.311819879
7.765815592,18.24861007,6.792201352,191.6298272,15.49774606,5.785978199,0.453166792,3.236704417
7.753348501,18.42592036,6.798407213,191.4924117,14.98797896,5.671233898,0.431889557,3.147701639
7.743267662,18.63027799,6.80555973,191.3340346,14.40045079,5.538402679,0.407366642,3.048195781
7.735050396,18.85717506,6.813501127,191.1581893,13.74812171,5.390188853,0.380138993,2.941571082
7.728174028,19.10210368,6.822073629,190.9683696,13.04395192,5.22929673,0.350747558,2.831211778
7.72211588,19.36055597,6.831119459,190.7680691,12.30090158,5.058430621,0.319733283,2.720502106
7.716353275,19.62802404,6.840480841,190.5607814,11.53193088,4.880294838,0.287637115,2.612826302
7.710363537,19.9,6.85,190.35,10.75,4.697593691,0.255,2.511568605
7.703623988,20.17197596,6.859519159,190.1392186,9.968069121,4.513031492,0.222362885,2.42011325
7.695611952,20.43944403,6.868880541,189.9319309,9.199098422,4.32931255,0.190266717,2.341844476
7.685804751,20.69789632,6.877926371,189.7316304,8.456048084,4.149141178,0.159252442,2.280146518
7.673679709,20.94282494,6.886498873,189.5418107,7.751878287,3.975221686,0.129861007,2.238403613
7.658714149,21.16972201,6.89444027,189.3659654,7.099549211,3.810258385,0.102633358,2.22
7.640385394,21.37407964,6.901592787,189.2075883,6.512021037,3.656955585,0.078110443,2.21462554
7.618170766,21.55138993,6.907798648,189.0701728,6.002253944,3.518017599,0.056833208,2.209831802
7.59154759,21.697145,6.912900075,188.9572126,5.583208114,3.396148736,0.0393426,2.205795583
7.559993189,21.80683696,6.916739294,188.8722014,5.267843727,3.294053308,0.026179564,2.202693679
7.522984884,21.87595793,6.919158527,188.8186326,5.069120962,3.214435626,0.017885049,2.200702886
7.48,21.9,6.92,188.8,5,3.16,0.015,2.2
6.82,21.7,6.87,189.5,5.5,3.13,0.021,2.3
6.94,21.8,6.92,206.8,4.7,3.13,0.028,2.25
7.47,22.5,6.95,214.2,3.9,2.98,0.023,2.29
8.62,23.9,7.07,212.3,3.5,3.12,0.023,2.21
8.72,24.4,7.12,213.9,4,3.02,0.024,2.21
7.74,24,7.05,214.8,4,3.13,0.013,2.16
6.57,23.3,6.94,214.5,4.2,3.15,0.016,2.1
6.41,23.1,6.92,214.1,4.2,3.193866966,0.014,2.06
7.47,22.9,6.9,172.8,11.8,3.260450337,0.022,2.15
7.41,23.2,6.91,191,4.7,3.331100225,0.027,2.06
7.36,23.4,6.97,210.7,4,3.387166742,0.019,2.03
6.8,23.2,6.96,217.5,4.7,3.41,0.002,2.08
6.34,22.4,6.94,221.1,4.7,2.84,0.025,2.17
6.45,21.8,6.96,220.8,4.4,3.16,0,2.2
7.28,21.7,7.03,218.2,3.9,3.12,0,2.19
8.01,21.5,7.11,215.1,3.8,3.08,0.006,2.15
8.37,21.4,7.17,211.6,3.6,3.1,0.004,2.11
7.96,21.1,7.16,211.1,5.1,3.17,0.023,2.11
7.12,20.6,7.07,207,4.4,2.89,0.009,2.06
6.94,20.1,7.05,201,4.5,2.912423704,0.026227405,2.04
7.7,20.2,7.08,196.5,4.6,2.975522963,0.070655977,1.98
8.31,20.4,7.12,193.9,9.6,3.07304,0.131405248,2.074011628
8.08,20.5,7.08,198.4,12.1,3.198717037,0.197594752,2.19
7.27,19.9,7.01,200.5,11,3.346296296,0.258344023,2.22
6.9,19.7,6.96,202.7,13.3,3.50952,0.302772595,2.51
6.72,19.5,6.91,197.7,13.7,3.68213037,0.32,2.76
7.17,19.6,6.94,195.8,9.8,3.85786963,0.247,2.52
8.05,20,7,193.7,9.8,4.03048,0.181,2.34
7.99,20,7.03,201.9,7.3,4.193703704,0.005,2.26
7.35,19.9,7.01,205.1,5.7,4.341282963,0.155,2.24
6.66,19.6,6.95,208.7,5.1,4.46696,0.023,2.22
6.78,19.6,6.97,208.7,5.1,4.564477037,0.002,2.14
7.2,19.8,7.01,209.2,4.5,4.627576296,0.018,2.15
7.6,19.9,7.02,209.7,6,4.65,0.019,2.17
7.58,19.8,7.03,204.1,6.1,4.13,0.168,2.28
7.22,19.5,6.98,202.3,4.6,4.3,0.198,2.29
6.82,19.2,6.94,200.3,4.9,4.14,0.189,2.27
7.19,19.1,6.96,198,4.8,4.11,0.012,2.13
7.99,20.5,7.01,196.8,4.1,3.85,0.005,1.99
8.99,22.1,7.15,208.1,3.7,3.73,0.009,1.94
8.98,22.6,7.22,210.3,3.7,4,0.011,1.89
8.38,22.3,7.2,205.5,4.2,3.74,0.008,1.82
7.14,21.4,7.09,205.8,4.6,3.78,0.021,1.76
7.48,20.5,7,169.6,5.8,3.43,0,1.64
8.23,21.7,7.02,163.3,4.9,2.84,0.022,1.51
8.97,23.3,7.14,162.5,5.1,3.16,0.021,1.36
8.84,23.4,7.19,154.9,5.4,3.15,0.028,1.26
8.44,22.7,7.11,146.8,4.8,2.86,0.014,1.23
7.76,22.1,7.01,146.4,5.5,2.9,0.001,1.21
7.52,21.7,6.97,148.2,5,3.16,0.025,1.16
8.03,22.9,6.99,145,4.7,2.85,0.022,1.09
8.91,24.4,7.11,138.8,4.5,2.53,0.025,1.03
8.73,24.5,7.14,141.9,4.8,3,0.008,1.02
8.39,24.4,7.14,154.4,4,2.47,0.024,1.08
7.47,23.9,7.05,160.6,4.4,3.16,0.009,1.1
6.88,23.5,6.96,163.6,4.8,2.98,0.008,1.12
7.29,24.3,7.01,173.4,3.6,2.67,0.027,1.16
8.35,25.6,7.15,175.9,4.2,2.82,0.008,1.12
8.64,25.4,7.17,154.3,4,3.14,0.004,1.13
8.01,25.3,7.16,158.2,3.8,3.02,0.015,1.16
6.88,24.9,7.01,155,5.4,3.28,0.026,1.17
5.82,24.5,6.93,178.9,5,3.22,0.026,1.27
6.69,24.5,6.95,172.6,4.3,3.14,0.004,1.26
7.86,25,7.06,166.4,4,3.19,0.016,1.26
7.96,24.8,7.09,165.3,4.7,3.17,0.026,1.31
7.25,24.5,7.02,167.4,5.3,3.3,0,1.35
7.18,23.3,6.92,129.9,7.440723885,4.52,0,2.22
7.02,22.3,6.84,128,11.54873782,4.972406309,0.007,3.517427764
6.89,21.8,6.56,118.1,16.78695158,5.362604679,0.475,4.922047215
6.74,21.8,6.48,121.2,22.31827491,5.691176749,0.613,5.58
6.67,22,6.51,128.4,27.30561758,5.958704159,0.577,4.78
6.64,21.7,6.56,133.2,30.91188936,6.16576855,0.524,4.2
6.91,21.5,6.64,136.5,32.3,6.31295156,0.43,3.58
6.86,21.2,6.68,139.6,26.4,6.40083483,0.456,3.34
6.84,21.3,6.71,143.7,21.7,6.43,0.543,3.32
7.5,21.5,6.77,142.6,16.7,5.3,0.366,2.8
7.47,21.6,6.83,144.3,14,4.54,0.28,2.54
7.11,21.5,6.8,148.3,12,4.35,0.275,2.45
6.86,21.4,6.82,154.5,10.8,4.33,0.25,2.41
6.84,21.4,6.82,158.7,10.5,4.3373225,0.244,2.36
7.12,21.6,6.84,162.8,9.5,4.35828,0.241,2.36
7.61,22.1,6.9,166.6,7.2,4.3913575,0.211,2.24
7.41,22.3,6.91,168.2,6.5,4.43504,0.183,2.13
6.76,22.2,6.9,176,6.6,4.4878125,0.157,2.08
6.61,22.1,6.89,173.9,7.1,4.54816,0.168,2.14
6.6,22,6.9,174.8,6.9,4.6145675,0.152,2.1
7.29,22.6,6.95,174.8,5.6,4.68552,0.004,2.09
8.24,23.5,7.03,172.4,7.4,4.7595025,0.028,2.08
7.24,23.3,6.98,191.6,11.5,4.835,0.151,2.24
6.79,23,6.91,172.6,19.4,4.9104975,0.155,2.443763291
7.01,22.7,6.91,152.3,38,4.98448,0.156,2.83
6.77,22.6,6.82,136.9,37.26953125,5.0554325,0.21,4.96
6.6,23.1,6.55,120.7,35.34375,5.12184,0.197,6.21
6.83,23.6,6.62,127.3,32.62109375,5.1821875,0.212,5.17
6.85,24,6.65,138.9,29.5,5.23496,0.286,4.55
6.7,24.1,6.67,149.2,26.37890625,5.2786425,0.022,3.72
6.712955083,23.9962963,6.711043771,156.3688031,23.65625,5.31172,0.062157182,3.282530698
6.752576832,23.8037037,6.767643098,162.3565145,21.73046875,5.3326775,0.143647696,2.963487571
6.82,23.7,6.82,168.8,21,5.34,0.208,2.84
7.14,24,6.86,176.6,22.2,2.9,0.236,2.85
7.07,23.6,6.81,149.8,25.62933594,5.43,0.172,4.17
7.04,23.3,6.78,145.1,30.27022353,4.99,0.003,3.42
6.89,23.2,6.78,151.6,32.6,4.83,0.025,3
6.83,23.3,6.82,159.4,26.7,4.45,0.002,2.67
7.2,24,6.86,166,17,4.62,0.022,2.46
7.3,24.4,6.91,175.2,13.8,4.05,0.008,2.27
7.13,24.6,6.93,179.9,11.6,3.94,0,2.21
6.62,24.4,6.93,185.3,10.2,3.62,0.025,2.15
6.37,24.2,6.92,188.6,10.1,3.53,0.005,2.11
6.45,24,6.93,193.6,9.9,3.59,0.019,2.09
7.18,24.7,7,192.5,8.6,3.22,0,2.05
8.01,26,7.08,186.4,8.2,3.23,0.001,1.97
7.57,26.2,7.08,187.6,7.4,3.1,0.012,1.91
6.55,25.6,7.01,189.5,9,3.01,0.019,1.87
6.31,25.5,6.98,189.5,14.7,3.57,0.008,2.2809375
6.376470588,25.1510467,6.887391989,178.4486123,20.67820896,3.762297711,0.069962963,3.185
6.502941176,24.65330113,6.754292036,156.841669,27.18298507,3.933414854,0.185037037,4.0890625
6.58,24.4,6.67,142,33.14865672,4.083955408,0.247,4.5
6.59,24.6,6.65,138.1,37.50955224,4.214523349,0.212,3.79
6.56,24.6,6.7,144.8,39.2,4.325722657,0.019,3.06
6.55,24.6,6.74,149,26.2,4.418157311,0.002,2.72
6.65,24.3,6.77,152.4,20.3,4.492431288,0.021,2.48
6.88,24.2,6.83,157.8,24.7,4.549148567,0.024,2.54
7.02,25.1,6.87,161.5,24.4,4.588913127,0.022,2.58
6.76,25.2,6.83,160.4,29.1,4.612328945,0.026,2.76
6.68,24.9,6.81,158,21.5,4.62,0.023,2.48
6.65,24.8,6.83,159.2,17.5,4.26,0.013,2.34
6.74,24.6,6.85,160.6,14.7,3.87,0.014,2.26
7.08,25,6.84,160.8,16.9,4.01,0.021,2.24
7.24,25.8,6.85,160.5,13.7,3.87,0.017,2.17
7.15,25.9,6.56,168.4,11.6,3.63,0,2.09
6.81,25.8,6.88,172,9.9,3.49,0.027,2.05
6.65,25.5,6.88,169.7,10.3,3.4,0.014,2.03
6.6,25.3,6.88,171.6,10.4,3.28,0.003,1.98
7.07,25.4,6.93,171.7,9.6,3.34,0,1.99
7.51,25.9,6.98,173.3,9.4,3.2,0.004,1.98
7.08,26.1,6.96,175.4,9,3.34,0.026,1.96
6.61,26.1,6.92,177,8.4,3.4,0.023,1.98
6.46,25.8,6.93,177.3,9.9,3.51,0.002,1.98
6.48,25.6,6.92,171.5,11.2,3.12,0.021,1.92
7.12,26.1,7,166.5,9.3,3.05,0.004,1.83
7.57,26.6,7.09,164,7.6,3.02,0.026,1.78
7.21,26.4,7.09,162.3,8.3,3.12,0.022,1.819256619
6.62,26,7.02,162.7,15.8,3.34,0.001,1.93
6.71,25.1,7.04,152.8,31.3,4.21,0.023,2.45
6.48,24.5,6.98,163.1,31.12397945,5.25,0.316,3.06
6.27,24.1,6.85,156,30.57018113,6.68,0.41,3.39
6.36,23.7,6.83,152.1,29.6,6.22,0.381,3.02
6.19,23.2,6.84,156.3,24,6.66,0.478,2.99
6.52,22.6,6.88,157.4,20,5.62,0.388,2.73
6.63,22.2,6.89,161.3,22.3,5.58,0.278,2.53
6.59,21.9,6.96,169.4,18.3,5.14,0.288,2.43
6.76,21.8,6.95,169.3,16.8,4.89,0.304,2.41
7.08,21.6,6.95,166.5,20.1,4.73,0.272,2.48
7.07,21.5,6.92,165.9,25,5.17,0.305,2.76
6.86,21.3,6.86,168.3,25.2,5.29,0.354,2.82
6.76,21.1,6.84,166.8,20.9,5.04,0.31,2.68
6.81,21,6.86,167.7,16,4.62,0.236,2.38
6.91,21,6.91,169.5,13.4,4.22,0.205,2.25
7.05,21,6.94,172.2,14.1,4.19,0.235,2.34
7.14,20.9,6.95,175.2,21.6,4.22,0.272,2.6
7.09,20.8,6.89,171.1,31,4.66,0.25,2.82
7.04,20.7,6.87,157.4,30.2,4.96,0.211,2.79
7.15,20.6,6.88,157.3,29.9,4.899643347,0.223,2.74
7.17,20.7,6.86,152.8,38.3,4.737887517,0.28,3.17
7.04,20.9,6.77,154,37.21511194,4.503703704,0.358,3.56
6.97,20.8,6.75,148.9,34.3,4.2260631,0.29,3.18
6.96,20.8,6.78,153.4,23.4,3.9339369,0.209,2.66
6.96,20.7,6.84,158.3,19.7,3.656296296,0.175,2.5
